run 3000000 # for 3ns
PPPM initialization ...
  using 12-bit tables for long-range coulomb (src/kspace.cpp:342)
  G vector (1/distance) = 0.23894965
  grid = 27 24 36
  stencil order = 5
  estimated absolute RMS force accuracy = 0.022319582
  estimated relative force accuracy = 6.7214757e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 3952 1296
Generated 19 of 36 mixed pair_coeff terms from geometric mixing rule
WARNING: Inconsistent image flags (src/domain.cpp:815)
Per MPI rank memory allocation (min/avg/max) = 9.241 | 9.267 | 9.329 Mbytes
   Step         PotEng          Temp          Press            Lx             Ly             Lz          Density         Volume    
    146000  -780401.02      297.68379      46.593082      51.415218      22.476054      74.046695      2.2578846      85569.191    
    147000  -780496.71      305.56753     -129.9918       51.459846      22.478106      73.996473      2.2572515      85593.189    
    148000  -780468.38      296.56214      76.099453      51.39824       22.488813      73.922942      2.261128       85446.451    
    149000  -780673.21      299.89945      1561.2151      51.322809      22.489814      74.028572      2.2611195      85446.769    
    150000  -780586.03      298.38069     -259.36613      51.410295      22.492679      74.129209      2.2539201      85719.701    
    151000  -780496.56      298.38116     -66.742525      51.314391      22.476815      74.086859      2.261018       85450.606    
    152000  -780528.65      298.11351      319.14179      51.389569      22.482977      73.999058      2.2597697      85497.808    
    153000  -780685.65      302.50753     -635.8054       51.309461      22.518383      74.064512      2.2577422      85574.587    
    154000  -780403.55      303.87776      1133.5379      51.338934      22.522267      74.036308      2.2569164      85605.9      
    155000  -780511.38      296.1667       1022.7596      51.338749      22.514639      74.000835      2.2587714      85535.598    
    156000  -780458.66      305.8294      -215.63692      51.330176      22.495903      74.126274      2.257204       85594.99     
    157000  -780561.59      305.38068     -1451.8095      51.3594        22.482732      74.239291      2.2538049      85724.081    
    158000  -780661.81      300.19426     -148.51948      51.387475      22.497113      73.935391      2.2603866      85474.474    
    159000  -780529.36      302.19257      1071.4278      51.273191      22.513552      74.048783      2.2603041      85477.595    
    160000  -780453.52      297.29245     -956.67812      51.334059      22.48186       74.190072      2.256501       85621.66     
    161000  -780473.2       295.56931     -452.41372      51.28866       22.503139      74.190245      2.2563575      85627.104    
    162000  -780430.09      305.02727      701.5927       51.337742      22.505479      74.088665      2.2570562      85600.598    
    163000  -780388.68      303.21853     -112.29053      51.385881      22.503774      74.137342      2.2536319      85730.664    
    164000  -780574.59      299.89684     -110.0626       51.278019      22.532906      74.065629      2.2576365      85578.596    
    165000  -780508.36      299.92582     -334.81012      51.425772      22.494417      74.013978      2.2565755      85618.834    
    166000  -780511.28      300.91499     -768.54382      51.33827       22.476446      74.223287      2.2558495      85646.387    
    167000  -780517.01      298.88745     -439.22936      51.241357      22.486502      74.199944      2.2598159      85496.06     
    168000  -780442.56      297.62289      93.812705      51.353381      22.454075      74.206771      2.257935       85567.283    
    169000  -780692.25      302.00903      1398.448       51.348682      22.467321      74.148764      2.2585757      85543.006    
    170000  -780640.4       297.48893     -278.52719      51.38425       22.47748       74.134485      2.2564268      85624.475    
    171000  -780522.91      302.01758      1149.2579      51.29076       22.469622      74.170134      2.2602434      85479.891    
    172000  -780562.99      292.36199     -1344.3056      51.289598      22.518404      74.176901      2.2551923      85671.344    
    173000  -780528.32      301.72915     -1454.9979      51.31863       22.487481      74.192709      2.256535       85620.369    
    174000  -780575.09      300.89213     -158.07296      51.269606      22.518198      74.273308      2.2531639      85748.47     
    175000  -780522.13      302.75465      262.6508       51.388222      22.446037      74.19831       2.2574695      85584.926    
    176000  -780654.29      299.25794     -144.54561      51.377067      22.464203      74.137187      2.2579938      85565.054    
    177000  -780603.3       301.40708     -2214.9281      51.342199      22.481138      74.208883      2.2556438      85654.197    
    178000  -780570.29      297.51095     -787.5912       51.310759      22.498171      74.215569      2.2551139      85674.323    
    179000  -780635.89      299.23307      358.93072      51.276496      22.467278      74.184543      2.2606688      85463.805    
    180000  -780552.52      302.1276       135.01858      51.363519      22.481208      73.960481      2.2622731      85403.2      
    181000  -780529.76      298.60001     -871.30595      51.331033      22.4792        74.127707      2.2587998      85534.522    
    182000  -780627.04      300.08635     -1171.2829      51.343966      22.497563      74.018989      2.2597018      85500.379    
    183000  -780501.62      300.50892      1427.864       51.348444      22.483102      74.033052      2.2605285      85469.11     
    184000  -780486.72      301.2128       465.56196      51.330179      22.49382       74.143091      2.2569009      85606.489    
    185000  -780520.1       298.37544     -27.132519      51.372401      22.491072      74.042115      2.2583973      85549.766    
    186000  -780484.55      303.75459     -304.89276      51.329157      22.477282      74.124561      2.259171       85520.466    
    187000  -780525.56      302.28925      828.72812      51.325182      22.465106      74.289039      2.2555655      85657.17     
    188000  -780602.05      296.69684      672.71197      51.351775      22.503955      74.107376      2.2560225      85639.819    
    189000  -780600.41      298.20721     -169.11896      51.30679       22.483055      74.203948      2.2571581      85596.732    
    190000  -780539.49      299.32842     -1740.2158      51.378144      22.472698      74.318432      2.2515884      85808.472    
    191000  -780652.52      301.20622     -327.3007       51.290038      22.487655      74.20529       2.2573926      85587.839    
    192000  -780546.51      297.20616     -1871.5803      51.361271      22.493366      74.170625      2.2547429      85688.42     
    193000  -780609.42      304.95207      1388.151       51.317139      22.490208      74.0786        2.2598025      85496.568    
    194000  -780643.68      298.0664       260.62996      51.373617      22.495888      73.97126       2.2600231      85488.225    
    195000  -780467.45      300.85051     -983.84468      51.370596      22.485323      74.182773      2.2547707      85687.366    
    196000  -780620.02      296.78118      341.98908      51.290614      22.488465      74.080148      2.2610992      85447.536    
    197000  -780625.02      298.1013      -49.85514       51.348461      22.508211      74.180759      2.25351        85735.301    
    198000  -780485.09      297.72545     -1016.5497      51.387451      22.487522      74.19524       2.253432       85738.269    
    199000  -780733.66      300.09773      508.6363       51.260689      22.508805      74.096555      2.2598743      85493.853    
    200000  -780603.87      302.21747      1492.6135      51.356051      22.468376      74.106005      2.2594486      85509.959    
    201000  -780538.74      301.7206      -321.72141      51.284698      22.496547      74.267935      2.2548318      85685.041    
    202000  -780575.93      296.28326      263.98408      51.297248      22.452049      74.288758      2.2581149      85560.464    
    203000  -780589.65      299.52449     -1116.2579      51.363186      22.503953      74.317569      2.2491421      85901.801    
    204000  -780522.99      299.48516      3.8005214      51.294528      22.482651      74.385851      2.2522172      85784.513    
    205000  -780528.89      296.94013      831.94817      51.251198      22.478073      74.344701      2.2558284      85647.19     
    206000  -780625.89      296.34908      153.28413      51.25641       22.47161       74.365051      2.2556303      85654.71     
    207000  -780649.83      298.1          259.49901      51.318213      22.467778      74.241415      2.2570505      85600.813    
    208000  -780627.17      298.75452      1355.9206      51.349163      22.448443      74.190002      2.2591975      85519.465    
    209000  -780494.93      303.12237      585.48696      51.369264      22.460505      74.188195      2.2571556      85596.828    
    210000  -780439.89      292.82567      253.95301      51.317678      22.479539      74.258168      2.2553842      85664.055    
    211000  -780532.52      306.03157     -609.53455      51.324122      22.48156       74.25277       2.2550623      85676.285    
    212000  -780504.44      304.27408     -868.88076      51.324044      22.488173      74.322355      2.2522919      85781.67     
    213000  -780574.47      294.9195      -1310.5881      51.293922      22.489611      74.282668      2.2546743      85691.028    
    214000  -780550.09      296.92563      264.47799      51.186633      22.507838      74.351774      2.2554722      85660.713    
    215000  -780473.33      298.11721      283.26941      51.303321      22.476138      74.434208      2.2510204      85830.123    
    216000  -780621.88      299.37472      794.77327      51.277613      22.47895       74.207005      2.2587619      85535.958    
    217000  -780421.02      302.11017     -852.80999      51.284842      22.495479      74.212314      2.2566226      85617.047    
    218000  -780532.83      304.98563      720.64905      51.256213      22.498568      74.059687      2.2622255      85404.995    
    219000  -780497.29      303.68673     -111.74249      51.300158      22.502401      74.25825       2.2538598      85721.996    
    220000  -780633.25      302.05121      408.37454      51.282163      22.476334      74.329555      2.2551001      85674.85     
    221000  -780549.89      298.05075     -11.002654      51.318733      22.483893      74.096332      2.2598262      85495.673    
    222000  -780613.22      297.70985      628.84524      51.241456      22.475577      74.251451      2.2593417      85514.007    
    223000  -780528.77      300.9068       32.092473      51.306832      22.483955      74.25996       2.2553636      85664.84     
    224000  -780579.28      300.47898     -101.8195       51.276077      22.486343      74.404932      2.25208        85789.74     
    225000  -780649.21      298.70786      419.28264      51.325908      22.486508      74.239912      2.2548781      85683.285    
    226000  -780679.24      299.97972      99.000556      51.233796      22.472847      74.305131      2.2583213      85552.644    
    227000  -780476.91      298.41689     -2127.4263      51.227921      22.504477      74.329701      2.2546604      85691.558    
    228000  -780690.91      302.31962     -566.41367      51.253117      22.525408      74.281536      2.2529178      85757.838    
    229000  -780615         304.11641      995.99849      51.278483      22.49595       74.199002      2.2572601      85592.865    
    230000  -780571.6       295.33614      167.87761      51.243916      22.486969      74.265531      2.2576605      85577.684    
    231000  -780537.53      302.35214      1598.4368      51.268587      22.444875      74.238097      2.2616417      85427.039    
    232000  -780542.98      299.05804     -194.56693      51.219874      22.478605      74.418502      2.2549161      85681.84     
    233000  -780555.01      300.73854      381.59677      51.235556      22.481833      74.266896      2.2585033      85545.75     
    234000  -780563.91      298.82038      1445.5192      51.399232      22.453671      74.278051      2.2537964      85724.408    
    235000  -780635.88      298.59596      1703.0071      51.326088      22.469889      74.228444      2.2568865      85607.033    
    236000  -780577.57      297.15985      51.440992      51.346073      22.460805      74.243666      2.2564578      85623.298    
    237000  -780532.15      299.20982     -430.63446      51.313656      22.470706      74.3689        2.2530879      85751.363    
    238000  -780655.92      301.30731     -67.545187      51.186566      22.483589      74.231811      2.2615567      85430.253    
    239000  -780536.6       298.29316     -28.856174      51.381421      22.481473      74.23082       2.2532222      85746.251    
    240000  -780651.03      297.27365      1862.0145      51.289216      22.449209      74.27294       2.2592352      85518.035    
    241000  -780564.97      301.61815      501.9517       51.263435      22.475374      74.26891       2.2578625      85570.03     
    242000  -780618.42      300.20661     -713.02595      51.296214      22.495388      74.233634      2.2554835      85660.286    
    243000  -780306.16      297.31435      354.86855      51.304064      22.508653      74.188962      2.2551665      85672.327    
    244000  -780496.61      302.276        384.64133      51.318738      22.449974      74.339146      2.2558478      85646.451    
    245000  -780649.45      300.41778     -488.50254      51.305661      22.475658      74.341756      2.2537651      85725.598    
    246000  -780627.34      297.065        508.51469      51.373964      22.485073      74.122751      2.2564736      85622.697    
    247000  -780620.33      298.19896      699.48331      51.309703      22.460623      74.334387      2.2553197      85666.506    
    248000  -780596.58      301.48449      290.29447      51.311263      22.456865      74.46032       2.2518136      85799.892    
    249000  -780557.43      304.8979      -335.97509      51.320913      22.429756      74.473291      2.2537186      85727.366    
    250000  -780574.06      299.34345      134.46924      51.264705      22.443791      74.357308      2.2582958      85553.611    
    251000  -780526.91      303.76683     -248.96179      51.306577      22.447172      74.551986      2.2502215      85860.595    
    252000  -780583.11      297.71078      420.67447      51.313878      22.436963      74.454664      2.2538674      85721.707    
    253000  -780506.63      298.85823      168.72853      51.367818      22.432108      74.411198      2.2533033      85743.165    
    254000  -780448.86      295.92647     -1118.9431      51.298178      22.466801      74.315414      2.2557818      85648.956    
    255000  -780578.33      297.39812     -1418.7817      51.263049      22.475364      74.466874      2.2518781      85797.431    
    256000  -780663.14      307.576        375.31877      51.338072      22.421313      74.434786      2.2549796      85679.426    
    257000  -780417.73      303.9209       612.94465      51.343862      22.448364      74.366224      2.2540846      85713.446    
    258000  -780554.97      303.16514     -67.898863      51.319619      22.440373      74.433674      2.2539081      85720.157    
    259000  -780677.16      300.48841      832.27833      51.307675      22.461319      74.292096      2.2566228      85617.038    
    260000  -780681.82      299.04825      54.970236      51.327512      22.443827      74.344525      2.2559167      85643.837    
    261000  -780608.86      299.22418      505.45176      51.295927      22.448331      74.344748      2.2568461      85608.568    
    262000  -780549.14      302.32707      1320.3833      51.32821       22.447429      74.449364      2.2523478      85779.539    
    263000  -780494.42      304.60163     -330.18093      51.361159      22.44804       74.464183      2.2503937      85854.026    
    264000  -780602.73      298.7632       983.50085      51.321391      22.443778      74.395528      2.2546439      85692.182    
    265000  -780585.34      298.52636     -826.77391      51.278151      22.457106      74.4911        2.2523124      85780.888    
    266000  -780652.42      302.42374      654.5663       51.29693       22.427382      74.48055       2.2547912      85686.585    
